device,n_readings,modal_sf,mean_margin_db,baseline_blup_db,missed_frames_total
D01,3,12,5.33,-5.412,0
D02,7,12,7.79,-3.872,9
D03,23,12,10.47,-1.442,37
D04,13,11,12.36,0.647,44
D05,3,12,5.43,-5.33,0
D06,20,12,9.54,-2.273,21
D07,14,12,6.87,-4.86,18
D08,4,12,4.33,-6.613,3
D09,19,10,10.84,0.51,35
D10,23,11,11.23,-0.296,31
D11,1,11,5.5,-3.713,0
D12,63,7,14.51,9.454,10
D13,7,12,10.26,-1.623,8
D14,24,10,10.19,-0.538,35
D15,10,12,9.69,-1.891,17
D16,21,11,10.97,-0.147,44
D17,20,11,10.77,-0.99,44
D18,19,9,11.92,2.392,37
D19,26,7,12.09,5.963,29
D20,39,7,14.21,8.932,23
D21,28,7,11.3,5.567,28
D22,28,7,10.83,4.95,32
D23,19,12,10.13,-1.452,41
D24,38,11,10.2,-1.122,53
D25,21,10,10.5,-0.164,35
D26,21,11,11.33,-0.016,19
D27,8,12,8.2,-3.531,13
D28,27,7,11.53,5.498,35
D29,27,7,10.94,3.162,59
D30,15,7,10.93,3.283,43
D31,2,12,6.4,-4.258,3
D32,3,12,6.57,-4.497,4
D33,10,7,12.12,4.689,13
D34,2,12,6.7,-4.07,5
D35,23,7,12.37,6.473,31
D36,19,11,11.11,-0.667,34
D37,9,11,8.77,-2.777,16
D38,18,11,12.65,0.872,39
D39,19,12,11.24,-0.594,34
D40,19,11,11.77,0.145,33
D41,18,12,7.89,-4.0,20
D42,2,12,7.7,-3.255,2
D43,16,10,11.78,1.29,37
D44,2,11,2.9,-6.804,4
D45,19,7,12.77,5.391,35
D46,20,7,11.63,3.744,38
D47,8,12,7.72,-3.795,11
D48,17,9,12.11,2.917,36
D49,18,7,9.65,1.288,23
D50,18,12,9.73,-2.144,26
D51,27,12,10.19,-1.788,29
D52,16,10,11.45,0.27,28
D53,14,12,12.27,0.684,37
D54,40,7,12.46,6.818,43
D55,19,12,11.13,-0.783,43
D56,16,12,11.79,0.043,33
D57,2,12,16.0,3.442,2
D58,16,12,10.94,-0.85,25
D59,11,12,8.77,-2.856,21
