device,t_rel_hours,spreading_factor,snr,rssi,snr_demod_limit,snr_margin_db,f_cnt_gap,missed_frames
D01,394.17,12,-15.5,-118,-20,4.5,,0
D01,401.17,12,-16,-102,-20,4,1,0
D01,499.18,12,-12.5,-123,-20,7.5,-2,0
D02,397.25,12,-12.8,-121,-20,7.2,,0
D02,418.25,12,-13,-118,-20,7,3,2
D02,516.26,12,-11.2,-121,-20,8.8,-2,0
D02,523.26,12,-11.5,-121,-20,8.5,1,0
D02,565.26,12,-10.2,-119,-20,9.8,6,5
D02,579.26,12,-13.8,-121,-20,6.2,2,1
D02,593.26,12,-13,-107,-20,7,2,1
D03,341.8,12,-7,-120,-20,13,,0
D03,369.81,12,-11,-111,-20,9,4,3
D03,418.81,12,-6,-115,-20,14,7,6
D03,453.81,12,-11.8,-117,-20,8.2,5,4
D03,467.81,11,-7.2,-120,-17.5,10.3,2,1
D03,488.81,11,-8,-119,-17.5,9.5,3,2
D03,502.81,11,-10.8,-120,-17.5,6.7,2,1
D03,537.82,12,-12.5,-106,-20,7.5,5,4
D03,551.82,12,-7,-117,-20,13,2,1
D03,565.82,11,-7.5,-121,-17.5,10,2,1
D03,586.82,11,-3.5,-117,-17.5,14,3,2
D03,628.82,12,-8.2,-118,-20,11.8,6,5
D03,642.82,12,-10.5,-120,-20,9.5,2,1
D03,649.82,12,-8,-123,-20,12,1,0
D03,663.82,12,-15.8,-113,-20,4.2,2,1
D03,670.82,12,-8,-121,-20,12,1,0
D03,677.82,12,-10.5,-120,-20,9.5,1,0
D03,684.82,12,-8,-119,-20,12,1,0
D03,691.82,12,-7,-121,-20,13,1,0
D03,726.83,12,-7.2,-120,-20,12.8,5,4
D03,733.83,11,-6.5,-108,-17.5,11,1,0
D03,747.83,11,-9.8,-120,-17.5,7.7,2,1
D03,754.83,11,-7.5,-121,-17.5,10,1,0
D04,351.68,11,-5.8,-121,-17.5,11.7,,0
D04,400.68,12,-6.2,-120,-20,13.8,7,6
